serum,virus,replicate,concentration,fraction infectivity
15529,FullLength_3,1,0.05,0.003927117
15529,FullLength_3,1,0.016666667,0.04750714
15529,FullLength_3,1,0.005555556,0.299489912
15529,FullLength_3,1,0.001851852,0.654560538
15529,FullLength_3,1,0.000617284,0.873903023
15529,FullLength_3,1,0.000205761,0.969690103
15529,FullLength_3,1,6.86E-05,1.108157719
15529,FullLength_3,2,0.05,0.000362106
15529,FullLength_3,2,0.016666667,0.063355081
15529,FullLength_3,2,0.005555556,0.332220836
15529,FullLength_3,2,0.001851852,0.616865819
15529,FullLength_3,2,0.000617284,0.878871294
15529,FullLength_3,2,0.000205761,1.092757965
15529,FullLength_3,2,6.86E-05,1.302277026
15529,FullLength_2,1,0.05,0.005244873
15529,FullLength_2,1,0.016666667,0.053558579
15529,FullLength_2,1,0.005555556,0.316984822
15529,FullLength_2,1,0.001851852,0.687003775
15529,FullLength_2,1,0.000617284,0.904157922
15529,FullLength_2,2,0.05,0.021126158
15529,FullLength_2,2,0.016666667,0.085200905
15529,FullLength_2,2,0.005555556,0.339546572
15529,FullLength_2,2,0.001851852,0.615599239
15529,delta18,1,0.05,0.002443851
15529,delta18,1,0.016666667,0.073802924
15529,delta18,1,0.005555556,0.388701848
15529,delta18,1,0.001851852,0.614360239
15529,delta18,1,0.000617284,0.820533545
15529,delta18,1,0.000205761,0.927584323
15529,delta18,1,6.86E-05,1.017869532
15529,delta18,2,0.05,0.001988019
15529,delta18,2,0.005555556,0.386260866
15529,delta18,2,0.000617284,0.834731692
15529,delta21,1,0.05,0.002977046
15529,delta21,1,0.016666667,0.107919966
15529,delta21,1,0.005555556,0.400475351
15529,delta21,1,0.001851852,0.620996872
15529,delta21,1,0.000617284,0.734619479
15529,delta21,1,0.000205761,0.871406732
15529,delta21,1,6.86E-05,0.998173819
15529,FullLength_1,1,0.05,-0.000192304
15529,FullLength_1,1,0.02,0.103192752
15529,FullLength_1,1,0.008,0.295323104
15529,FullLength_1,1,0.0032,0.364125256
15529,FullLength_1,1,0.00128,0.439225365
15529,FullLength_1,1,0.000512,1.128990356
15529,FullLength_1,1,0.0002048,0.882943238
15529,FullLength_1,2,0.05,-0.00072648
15529,FullLength_1,2,0.02,0.331027296
15529,FullLength_1,2,0.008,0.46686502
15529,FullLength_1,2,0.0032,0.42680555
15529,FullLength_1,2,0.00128,0.557014177
15529,FullLength_1,2,0.000512,0.819287542
15529,FullLength_1,2,0.0002048,0.952156235