serum,virus,replicate,concentration,fraction infectivity,
COVID+,Spike,1,0.0000013,1.134005477,
COVID+,Spike,1,0.0000033,1.32729782,
COVID+,Spike,1,0.0000082,1.140027835,
COVID+,Spike,1,0.0000205,1.291329746,
COVID+,Spike,1,0.0000512,1.320383908,
COVID+,Spike,1,0.0001280,0.973289808,
COVID+,Spike,1,0.0003200,0.64726959,
COVID+,Spike,1,0.0008000,0.487803844,
COVID+,Spike,1,0.0020000,0.09252214,
COVID+,Spike,1,0.0050000,0.027814569,
COVID+,Spike,1,0.0125000,0.015621261,
COVID+,Spike,2,0.0000013,0.870962167,
COVID+,Spike,2,0.0000033,1.503065014,
COVID+,Spike,2,0.0000082,1.361779971,
COVID+,Spike,2,0.0000205,1.294467665,
COVID+,Spike,2,0.0000512,1.328600188,
COVID+,Spike,2,0.0001280,1.106175016,
COVID+,Spike,2,0.0003200,0.491772133,
COVID+,Spike,2,0.0008000,0.33996326,
COVID+,Spike,2,0.0020000,0.127983252,
COVID+,Spike,2,0.0050000,0.033662113,
COVID+,Spike,2,0.0125000,0.005752985,
COVID+,"Spike, ALAYT",1,0.0000013,1.153788759,
COVID+,"Spike, ALAYT",1,0.0000033,1.536866141,
COVID+,"Spike, ALAYT",1,0.0000082,0.927462021,
COVID+,"Spike, ALAYT",1,0.0000205,1.258189462,
COVID+,"Spike, ALAYT",1,0.0000512,1.373646548,
COVID+,"Spike, ALAYT",1,0.0001280,1.079006926,
COVID+,"Spike, ALAYT",1,0.0003200,0.888821196,
COVID+,"Spike, ALAYT",1,0.0008000,0.476231317,
COVID+,"Spike, ALAYT",1,0.0020000,0.13553784,
COVID+,"Spike, ALAYT",1,0.0050000,0.061095079,
COVID+,"Spike, ALAYT",1,0.0125000,0.011384574,
COVID+,"Spike, ALAYT",2,0.0000013,1.233404019,
COVID+,"Spike, ALAYT",2,0.0000033,1.523409667,
COVID+,"Spike, ALAYT",2,0.0000082,1.140937293,
COVID+,"Spike, ALAYT",2,0.0000205,1.387834353,
COVID+,"Spike, ALAYT",2,0.0000512,1.032321469,
COVID+,"Spike, ALAYT",2,0.0001280,1.158801694,
COVID+,"Spike, ALAYT",2,0.0003200,0.847454503,
COVID+,"Spike, ALAYT",2,0.0008000,0.450269096,
COVID+,"Spike, ALAYT",2,0.0020000,0.257151397,
COVID+,"Spike, ALAYT",2,0.0050000,0.036422659,
COVID+,"Spike, ALAYT",2,0.0125000,0.049327312,
COVID+,"Spike, HA Tail",1,0.0000013,0.921487415,
COVID+,"Spike, HA Tail",1,0.0000033,1.355750003,
COVID+,"Spike, HA Tail",1,0.0000082,1.21393322,
COVID+,"Spike, HA Tail",1,0.0000205,1.132482356,
COVID+,"Spike, HA Tail",1,0.0000512,0.956414227,
COVID+,"Spike, HA Tail",1,0.0001280,0.690758461,
COVID+,"Spike, HA Tail",1,0.0003200,0.546333339,
COVID+,"Spike, HA Tail",1,0.0008000,0.536554663,
COVID+,"Spike, HA Tail",1,0.0020000,0.154448478,
COVID+,"Spike, HA Tail",1,0.0050000,0.026546305,
COVID+,"Spike, HA Tail",1,0.0125000,0.000119978,
COVID+,"Spike, HA Tail",2,0.0000013,0.758118056,
COVID+,"Spike, HA Tail",2,0.0000033,0.808788433,
COVID+,"Spike, HA Tail",2,0.0000082,1.196589319,
COVID+,"Spike, HA Tail",2,0.0000205,1.709091708,
COVID+,"Spike, HA Tail",2,0.0000512,1.659876182,
COVID+,"Spike, HA Tail",2,0.0001280,1.592080132,
COVID+,"Spike, HA Tail",2,0.0003200,0.881427058,
COVID+,"Spike, HA Tail",2,0.0008000,0.35390853,
COVID+,"Spike, HA Tail",2,0.0020000,0.155550008,
COVID+,"Spike, HA Tail",2,0.0050000,0.014585352,
COVID+,"Spike, HA Tail",2,0.0125000,4.72354E-05,
"Naive, 69 yo",Spike,1,0.0000013,0.666323603,
"Naive, 69 yo",Spike,1,0.0000033,1.023207692,
"Naive, 69 yo",Spike,1,0.0000082,1.279987541,
"Naive, 69 yo",Spike,1,0.0000205,1.224817425,
"Naive, 69 yo",Spike,1,0.0000512,1.236523025,
"Naive, 69 yo",Spike,1,0.0001280,1.349076213,
"Naive, 69 yo",Spike,1,0.0003200,1.139229838,
"Naive, 69 yo",Spike,1,0.0008000,1.113187015,
"Naive, 69 yo",Spike,1,0.0020000,1.293325089,
"Naive, 69 yo",Spike,1,0.0050000,1.499420546,
"Naive, 69 yo",Spike,1,0.0125000,1.748638748,
"Naive, 69 yo",Spike,2,0.0000013,0.843667713,
"Naive, 69 yo",Spike,2,0.0000033,1.199005296,
"Naive, 69 yo",Spike,2,0.0000082,1.139605785,
"Naive, 69 yo",Spike,2,0.0000205,1.092151112,
"Naive, 69 yo",Spike,2,0.0000512,1.039749328,
"Naive, 69 yo",Spike,2,0.0001280,1.110333241,
"Naive, 69 yo",Spike,2,0.0003200,1.049746081,
"Naive, 69 yo",Spike,2,0.0008000,1.624747363,
"Naive, 69 yo",Spike,2,0.0020000,1.32475078,
"Naive, 69 yo",Spike,2,0.0050000,1.818701463,
"Naive, 69 yo",Spike,2,0.0125000,2.124585022,
ACE2,Spike,1,0.0033870,0.896262807,
ACE2,Spike,1,0.010161053,1.378634462,
ACE2,Spike,1,0.030483158,1.511883997,
ACE2,Spike,1,0.091449474,1.223936441,
ACE2,Spike,1,0.274348422,1.149977629,
ACE2,Spike,1,0.823045267,0.88768485,
ACE2,Spike,1,2.469135802,0.529754685,
ACE2,Spike,1,7.407407407,0.186320045,
ACE2,Spike,1,22.22222222,0.113224061,
ACE2,Spike,1,66.66666667,-1.50341E-05,
ACE2,Spike,1,200,-2.22244E-05,
ACE2,Spike,2,0.0033870,1.120986579,
ACE2,Spike,2,0.010161053,1.098387654,
ACE2,Spike,2,0.030483158,1.365505083,
ACE2,Spike,2,0.091449474,1.088076849,
ACE2,Spike,2,0.274348422,1.199525575,
ACE2,Spike,2,0.823045267,0.651327269,
ACE2,Spike,2,2.469135802,0.592439201,
ACE2,Spike,2,7.407407407,0.198191132,
ACE2,Spike,2,22.22222222,0.035087719,
ACE2,Spike,2,66.66666667,0.000430761,
ACE2,Spike,2,200,-5.81756E-05,
Pool 2017-2018,Spike,1,0.0000013,1.434322874,
Pool 2017-2018,Spike,1,0.0000033,1.547504447,
Pool 2017-2018,Spike,1,0.0000082,1.107346693,
Pool 2017-2018,Spike,1,0.0000205,1.12967239,
Pool 2017-2018,Spike,1,0.0000512,1.193866856,
Pool 2017-2018,Spike,1,0.0001280,1.073401569,
Pool 2017-2018,Spike,1,0.0003200,1.012572135,
Pool 2017-2018,Spike,1,0.0008000,1.229674253,
Pool 2017-2018,Spike,1,0.0020000,1.302813378,
Pool 2017-2018,Spike,1,0.0050000,1.573331791,
Pool 2017-2018,Spike,1,0.0125000,1.901530312,
Pool 2017-2018,Spike,2,0.0000013,1.236972347,
Pool 2017-2018,Spike,2,0.0000033,1.528313696,
Pool 2017-2018,Spike,2,0.0000082,1.025730275,
Pool 2017-2018,Spike,2,0.0000205,1.181370218,
Pool 2017-2018,Spike,2,0.0000512,1.258888199,
Pool 2017-2018,Spike,2,0.0001280,1.192586993,
Pool 2017-2018,Spike,2,0.0003200,1.200165506,
Pool 2017-2018,Spike,2,0.0008000,1.206658293,
Pool 2017-2018,Spike,2,0.0020000,1.056518884,
Pool 2017-2018,Spike,2,0.0050000,1.563941337,
Pool 2017-2018,Spike,2,0.0125000,2.023922583,
Pool 2017-2018,"Spike, ALAYT",1,0.0000013,1.221434981,
Pool 2017-2018,"Spike, ALAYT",1,0.0000033,1.204861545,
Pool 2017-2018,"Spike, ALAYT",1,0.0000082,1.384430746,
Pool 2017-2018,"Spike, ALAYT",1,0.0000205,1.414299823,
Pool 2017-2018,"Spike, ALAYT",1,0.0000512,1.120639262,
Pool 2017-2018,"Spike, ALAYT",1,0.0001280,1.242733548,
Pool 2017-2018,"Spike, ALAYT",1,0.0003200,1.231552155,
Pool 2017-2018,"Spike, ALAYT",1,0.0008000,1.019907397,
Pool 2017-2018,"Spike, ALAYT",1,0.0020000,1.240250371,
Pool 2017-2018,"Spike, ALAYT",1,0.0050000,1.498905225,
Pool 2017-2018,"Spike, ALAYT",1,0.0125000,1.96740276,
Pool 2017-2018,"Spike, ALAYT",2,0.0000013,1.306402217,
Pool 2017-2018,"Spike, ALAYT",2,0.0000033,1.538997898,
Pool 2017-2018,"Spike, ALAYT",2,0.0000082,1.222726233,
Pool 2017-2018,"Spike, ALAYT",2,0.0000205,1.31315646,
Pool 2017-2018,"Spike, ALAYT",2,0.0000512,1.287522974,
Pool 2017-2018,"Spike, ALAYT",2,0.0001280,1.45461953,
Pool 2017-2018,"Spike, ALAYT",2,0.0003200,1.643553857,
Pool 2017-2018,"Spike, ALAYT",2,0.0008000,1.148032257,
Pool 2017-2018,"Spike, ALAYT",2,0.0020000,1.400429504,
Pool 2017-2018,"Spike, ALAYT",2,0.0050000,1.768493155,
Pool 2017-2018,"Spike, ALAYT",2,0.0125000,1.837454539,
ACE2,"Spike, ALAYT",1,0.0033870,1.211807347,
ACE2,"Spike, ALAYT",1,0.010161053,1.356335368,
ACE2,"Spike, ALAYT",1,0.030483158,1.436378818,
ACE2,"Spike, ALAYT",1,0.091449474,1.130352033,
ACE2,"Spike, ALAYT",1,0.274348422,0.946029321,
ACE2,"Spike, ALAYT",1,0.823045267,0.672815953,
ACE2,"Spike, ALAYT",1,2.469135802,0.480930192,
ACE2,"Spike, ALAYT",1,7.407407407,0.137826021,
ACE2,"Spike, ALAYT",1,22.22222222,0.027977347,
ACE2,"Spike, ALAYT",1,66.66666667,0.002145207,
ACE2,"Spike, ALAYT",1,200,0.000123191,
ACE2,"Spike, ALAYT",2,0.0033870,1.678637606,
ACE2,"Spike, ALAYT",2,0.010161053,1.685001635,
ACE2,"Spike, ALAYT",2,0.030483158,1.423778466,
ACE2,"Spike, ALAYT",2,0.091449474,1.242698074,
ACE2,"Spike, ALAYT",2,0.274348422,0.970953328,
ACE2,"Spike, ALAYT",2,0.823045267,0.819394368,
ACE2,"Spike, ALAYT",2,2.469135802,0.479489949,
ACE2,"Spike, ALAYT",2,7.407407407,0.249639953,
ACE2,"Spike, ALAYT",2,22.22222222,0.060698531,
ACE2,"Spike, ALAYT",2,66.66666667,0.002308388,
ACE2,"Spike, ALAYT",2,200,-6.8368E-05,
"Naive, 69 yo","Spike, ALAYT",1,0.0000013,1.008300597,
"Naive, 69 yo","Spike, ALAYT",1,0.0000033,1.465847335,
"Naive, 69 yo","Spike, ALAYT",1,0.0000082,1.190521478,
"Naive, 69 yo","Spike, ALAYT",1,0.0000205,1.356905736,
"Naive, 69 yo","Spike, ALAYT",1,0.0000512,0.98253783,
"Naive, 69 yo","Spike, ALAYT",1,0.0001280,1.203964656,
"Naive, 69 yo","Spike, ALAYT",1,0.0003200,1.200866475,
"Naive, 69 yo","Spike, ALAYT",1,0.0008000,1.438262891,
"Naive, 69 yo","Spike, ALAYT",1,0.0020000,1.552835733,
"Naive, 69 yo","Spike, ALAYT",1,0.0050000,1.643414296,
"Naive, 69 yo","Spike, ALAYT",1,0.0125000,1.916114014,
"Naive, 69 yo","Spike, ALAYT",2,0.0000013,1.091958118,
"Naive, 69 yo","Spike, ALAYT",2,0.0000033,1.257704125,
"Naive, 69 yo","Spike, ALAYT",2,0.0000082,1.084704653,
"Naive, 69 yo","Spike, ALAYT",2,0.0000205,1.117149118,
"Naive, 69 yo","Spike, ALAYT",2,0.0000512,1.270236464,
"Naive, 69 yo","Spike, ALAYT",2,0.0001280,1.175017278,
"Naive, 69 yo","Spike, ALAYT",2,0.0003200,1.244659854,
"Naive, 69 yo","Spike, ALAYT",2,0.0008000,1.402022158,
"Naive, 69 yo","Spike, ALAYT",2,0.0020000,1.517645455,
"Naive, 69 yo","Spike, ALAYT",2,0.0050000,1.692805676,
"Naive, 69 yo","Spike, ALAYT",2,0.0125000,1.856736654,
"Naive, 69 yo","Spike, HA Tail",1,0.0000013,0.958970608,
"Naive, 69 yo","Spike, HA Tail",1,0.0000033,0.928044636,
"Naive, 69 yo","Spike, HA Tail",1,0.0000082,1.662962544,
"Naive, 69 yo","Spike, HA Tail",1,0.0000205,1.832140915,
"Naive, 69 yo","Spike, HA Tail",1,0.0000512,1.585096848,
"Naive, 69 yo","Spike, HA Tail",1,0.0001280,1.604955562,
"Naive, 69 yo","Spike, HA Tail",1,0.0003200,1.944756762,
"Naive, 69 yo","Spike, HA Tail",1,0.0008000,1.78554412,
"Naive, 69 yo","Spike, HA Tail",1,0.0020000,1.616168305,
"Naive, 69 yo","Spike, HA Tail",1,0.0050000,1.974404544,
"Naive, 69 yo","Spike, HA Tail",1,0.0125000,3.520162792,
"Naive, 69 yo","Spike, HA Tail",2,0.0000013,0.807395933,
"Naive, 69 yo","Spike, HA Tail",2,0.0000033,0.84884879,
"Naive, 69 yo","Spike, HA Tail",2,0.0000082,1.440557416,
"Naive, 69 yo","Spike, HA Tail",2,0.0000205,1.594148099,
"Naive, 69 yo","Spike, HA Tail",2,0.0000512,1.815908936,
"Naive, 69 yo","Spike, HA Tail",2,0.0001280,1.615409705,
"Naive, 69 yo","Spike, HA Tail",2,0.0003200,1.65267467,
"Naive, 69 yo","Spike, HA Tail",2,0.0008000,1.311938209,
"Naive, 69 yo","Spike, HA Tail",2,0.0020000,1.653225435,
"Naive, 69 yo","Spike, HA Tail",2,0.0050000,1.846627072,
"Naive, 69 yo","Spike, HA Tail",2,0.0125000,2.625304816,
ACE2,"Spike, HA Tail",1,0.0033870,0.956769656,
ACE2,"Spike, HA Tail",1,0.010161053,1.103881872,
ACE2,"Spike, HA Tail",1,0.030483158,1.013582873,
ACE2,"Spike, HA Tail",1,0.091449474,0.695149953,
ACE2,"Spike, HA Tail",1,0.274348422,0.498097885,
ACE2,"Spike, HA Tail",1,0.823045267,0.155619851,
ACE2,"Spike, HA Tail",1,2.469135802,0.038364185,
ACE2,"Spike, HA Tail",1,7.407407407,0.007311505,
ACE2,"Spike, HA Tail",1,22.22222222,0.015620227,
ACE2,"Spike, HA Tail",1,66.66666667,0.000263095,
ACE2,"Spike, HA Tail",1,200,-1.11391E-05,
ACE2,"Spike, HA Tail",2,0.0033870,0.76149136,
ACE2,"Spike, HA Tail",2,0.010161053,0.878840382,
ACE2,"Spike, HA Tail",2,0.030483158,0.757996329,
ACE2,"Spike, HA Tail",2,0.091449474,0.621305023,
ACE2,"Spike, HA Tail",2,0.274348422,0.562058704,
ACE2,"Spike, HA Tail",2,0.823045267,0.24070256,
ACE2,"Spike, HA Tail",2,2.469135802,0.095329107,
ACE2,"Spike, HA Tail",2,7.407407407,0.025533512,
ACE2,"Spike, HA Tail",2,22.22222222,0.00393317,
ACE2,"Spike, HA Tail",2,66.66666667,0.000502321,
ACE2,"Spike, HA Tail",2,200,-6.36521E-05,
Pool 2017-2018,"Spike, HA Tail",1,0.0000013,0.750428624,
Pool 2017-2018,"Spike, HA Tail",1,0.0000033,0.899087056,
Pool 2017-2018,"Spike, HA Tail",1,0.0000082,0.924789246,
Pool 2017-2018,"Spike, HA Tail",1,0.0000205,0.77336513,
Pool 2017-2018,"Spike, HA Tail",1,0.0000512,0.954383232,
Pool 2017-2018,"Spike, HA Tail",1,0.0001280,0.975931061,
Pool 2017-2018,"Spike, HA Tail",1,0.0003200,0.938337597,
Pool 2017-2018,"Spike, HA Tail",1,0.0008000,0.920763251,
Pool 2017-2018,"Spike, HA Tail",1,0.0020000,1.152514733,
Pool 2017-2018,"Spike, HA Tail",1,0.0050000,1.123358356,
Pool 2017-2018,"Spike, HA Tail",1,0.0125000,1.725466434,
Pool 2017-2018,"Spike, HA Tail",2,0.0000013,0.748508983,
Pool 2017-2018,"Spike, HA Tail",2,0.0000033,0.807446059,
Pool 2017-2018,"Spike, HA Tail",2,0.0000082,0.995150815,
Pool 2017-2018,"Spike, HA Tail",2,0.0000205,0.770961202,
Pool 2017-2018,"Spike, HA Tail",2,0.0000512,0.999935331,
Pool 2017-2018,"Spike, HA Tail",2,0.0001280,0.939650422,
Pool 2017-2018,"Spike, HA Tail",2,0.0003200,1.24823424,
Pool 2017-2018,"Spike, HA Tail",2,0.0008000,0.986486172,
Pool 2017-2018,"Spike, HA Tail",2,0.0020000,1.108339641,
Pool 2017-2018,"Spike, HA Tail",2,0.0050000,1.534645908,
Pool 2017-2018,"Spike, HA Tail",2,0.0125000,2.314545457,